USD|8820.00|8570.00
SGD|7004.55|6778.55
HKD|1134.40|1100.40
CHF|9591.90|9289.90
GBP|14162.20|13709.20
AUD|9145.05|8851.05
JPY|105.97|101.97
SEK|1408.85|1355.85
DKK|1690.45|1623.65
CAD|9129.10|8822.10
EUR|12514.45|12134.45
SAR|2360.85|2276.85
NZD|6744.20|6502.20
CNY|1348.30|1307.80
remotelastupdate|1-Apr-2011 / 16:05 WIB
